"RouteID","StopID","EstimateTime","GoBack"
"16562","135052","1200","1"
"16531","133092","-3","3"
"10148","33992","972","1"
"17300","169869","-1","2"
"10173","14992","2168","0"
"16878","159396","276","0"
"16757","156100","1992","2"
"16592","149427","1313","1"
"16837","184018","985","0"
"17565","181325","5958","2"
"16393","122031","244","1"
"16588","138740","612","0"
"16660","147283","-1","2"
"16532","133227","6060","2"
"17575","181747","709","0"
"16799","157653","2342","2"
"16835","158023","1080","2"
"16557","134494","-1","2"
"16461","186101","1341","1"
"17668","184989","15","1"
"10161","34400","3076","0"
"16662","170803","1532","0"
"17835","192855","-3","3"
"16423","123531","474","1"
"16581","138092","56","0"
"16734","154496","6398","2"
"17567","186674","-1","2"
"17545","196151","-1","2"
"17311","170904","2761","2"
"16418","178227","1715","0"
"17011","163031","5487","2"
"17679","185741","-1","2"
"16420","123342","-1","2"
"10492","37373","48","1"
"16642","198607","1848","0"
"16755","155999","101","0"
"16655","145148","580","0"
"16865","158877","6886","2"
"16768","156978","1311","0"
"17865","193968","860","2"
"16481","128423","473","0"
"16798","157620","432","2"
"16405","122422","333","1"
"10491","37155","68","0"
"16530","177569","-3","3"
"16735","154521","-1","2"
"16604","140158","833","0"
"17940","197225","3290","2"
"16663","147416","-1","2"
"16538","133650","1221","0"
"17548","180723","459","0"
"16695","150357","4985","2"
"16591","139076","751","0"
"17812","191852","-1","2"
"17534","179831","526","0"
"16584","138527","-1","2"
"16486","128876","184","1"
"16930","161152","2785","2"
"10325","21118","1149","0"
"16786","157505","-1","2"
"16529","132869","3798","2"
"16732","154229","338","1"
"17001","162688","1244","0"
"16474","128001","1767","0"
"16761","156623","4681","2"
"17889","195215","-1","2"
"16518","131624","1025","2"
"16730","191892","-1","2"
"16679","148189","-4","2"
"17395","172447","1677","0"
"17865","193961","285","0"
"17534","179828","274","0"
"16745","155231","-4","2"
"17005","162818","6413","2"
"17528","179563","1515","1"
"16966","194835","6206","2"
"17694","186621","-1","2"
"17016","163161","5353","2"
"16802","157728","129","2"
"16673","147879","1965","0"
"16660","147270","-1","2"
"17568","203214","-1","2"
"17300","169905","909","0"
"16752","156515","3420","2"
"16531","133107","-3","3"
"17915","196224","-3","3"
"16536","133519","2144","0"
"16715","152353","3095","2"
"16511","130767","250","1"
"10163","15924","593","1"
"16899","160131","-4","2"
"10149","170054","1480","2"
"16538","133629","-1","2"
"17845","193097","1345","2"
"16729","153983","8291","2"
"17692","186487","-4","2"
"16576","137772","-1","2"
"16956","161726","6633","2"
"16582","138407","5392","2"
"17294","194150","5244","0"
"16468","127753","175","1"
"10171","34439","-1","2"
"17720","188619","-3","3"
"16730","154071","-1","2"
"16739","155613","5503","2"
"16796","157605","-1","2"
"16591","139015","505","0"
"16272","113889","-4","2"
"16642","142774","1975","1"
"16775","187157","7703","2"
"16682","148413","750","0"
"10424","186116","1625","1"
"17916","196285","1233","0"
"17433","174247","-1","2"
"16748","155510","709","0"
"17699","186933","6854","2"
"10511","37557","1934","2"
"10753","38271","183","0"
"17466","175015","1241","0"
"17945","199814","-1","2"
"10492","37299","308","0"
"16542","156350","2560","0"
"16673","147881","2038","0"
"10149","170122","1454","1"
"16595","139415","243","0"
"16788","157546","5822","2"
"17300","169875","277","0"
"16487","128901","276","0"
"16659","145468","47","1"
"16393","192695","870","0"
"16691","152571","960","1"
"10196","35095","739","0"
"16461","126478","216","0"
"17696","186793","-1","2"
"17553","180904","-3","3"
"17513","178330","2908","2"
"16973","162116","-1","2"
"16871","159219","4773","2"
"16517","131609","230","1"
"16894","159973","1293","2"
"17517","178631","846","0"
"16798","157646","1712","2"
"17692","186546","-1","2"
"16603","140034","140","0"
"16405","122387","0","0"
"16730","154001","-1","2"
"16694","171128","821","1"
"16590","138964","3999","2"
"17013","163052","2324","2"
"10772","38540","365","1"
"16999","162633","3159","2"
"16692","150040","287","0"
"17700","187062","-1","2"
"16984","162352","-3","3"
"16922","160963","2482","2"
"17718","188230","-3","3"
"16922","160957","2198","2"
"16748","155527","712","0"
"16425","123793","180","1"
"16685","149262","2896","2"
"16770","157084","-3","3"
"17292","168685","478","0"
"16857","174099","-1","2"
"17300","169882","182","0"
"10196","35102","482","0"
"10195","34912","120","0"
"16603","140094","706","1"
"16717","152485","1728","2"
"17433","174237","-1","2"
"17814","191964","-3","3"
"16464","127464","2157","2"
"16498","129542","369","1"
"16620","141188","-1","2"
"18041","201788","1072","0"
"16821","157879","-3","3"
"17916","196306","745","0"
"16695","150341","3605","2"
"16485","128761","584","0"
"16789","185148","-1","2"
"17671","185284","-1","2"
"16948","161580","5762","2"
"17553","180926","-3","3"
"16591","139017","588","0"
"17545","180548","-1","2"
"10492","37296","646","0"
"16189","109967","2248","0"
"17977","199187","2480","2"
"16594","139303","44","0"
"16896","160033","1801","2"
"10172","34538","0","1"
"10162","15165","689","1"
"17692","186573","-1","2"
"16970","162006","-1","2"
"17696","186753","-1","2"
"17432","174208","-3","3"
"16731","154274","1494","0"
"16518","131676","458","1"
"17696","186801","-1","2"
"16393","121963","129","0"
"17931","196926","-3","3"
"16730","154068","-1","2"
"16591","139095","1200","0"
"16603","140066","878","0"
"16590","138993","5644","2"
"16865","158929","2790","2"
"10143","13833","1267","0"
"16461","192176","1263","1"
"16633","163241","313","0"
"16920","160942","1929","2"
"18052","202623","-1","2"
"10753","38255","2639","2"
"16760","156561","-1","2"
"16610","140577","362","0"
"16626","141730","3512","2"
"16113","16139","649","0"
"17519","178780","57","1"
"16923","160998","-1","2"
"16909","160504","1345","0"
"16693","150196","2090","1"
"17812","197397","-1","2"
"16608","140406","756","0"
"10492","37332","181","1"
"17991","199544","84","0"
"16627","141822","-1","2"
"16871","159204","3799","2"
"10164","16036","301","1"
"16740","155000","1951","1"
"5413","32987","3098","2"
"16988","162385","729","2"
"17903","198685","-1","2"
"16627","141764","-1","2"
"16461","126522","2460","0"
"16467","127687","-3","3"
"17527","179267","-1","2"
"16729","153949","4599","2"
"16500","129617","0","0"
"16958","202119","-1","2"
"16907","160340","-1","2"
"16296","115010","61","1"
"16732","154196","281","1"
"16667","147597","-1","2"
"16631","142060","7031","2"
"16462","127417","126","1"
"10511","37600","773","0"
"16423","123486","-1","2"
"16692","181025","89","0"
"10731","14225","344","1"
"16985","194350","7391","2"
"17700","187076","307","1"
"16732","154204","721","1"
"16976","162215","4929","2"
"17568","181420","-1","2"
"16515","131382","739","1"
"16560","134883","428","0"
"10475","185084","356","1"
"15717","19552","357","0"
"17802","191313","361","0"
"17692","186562","-1","2"
"17824","192457","-1","2"
"16393","121956","-1","2"
"10731","59771","0","0"
"16659","145501","931","1"
"16123","18832","435","0"
"16577","137903","-3","3"
"17789","191097","1117","2"
"17570","181503","67","0"
"16294","114841","-1","2"
"16682","148400","2700","2"
"16461","126576","335","1"
"16664","175286","463","1"
"16666","147553","919","0"
"16588","138772","30","0"
"17570","181485","168","0"
"10143","13915","1786","0"
"17483","176619","930","0"
"17937","197058","-1","2"
"16607","140352","-1","2"
"17714","187783","5986","2"
"17568","181467","-1","2"
"16697","150678","134","0"
"10424","10372","180","0"
"16583","138488","457","0"
"10492","37283","564","0"
"17528","179382","2072","0"
"16612","140719","287","1"
"17537","179975","-1","2"
"16538","133616","-1","2"
"10171","201648","-1","2"
"17304","169377","862","0"
"16670","147759","388","1"
"16663","147383","-1","2"
"16897","160069","-4","2"
"17425","173917","2878","2"
"17304","169409","1097","1"
"16517","131564","839","1"
"16689","149688","245","1"
"16689","149709","1624","1"
"17868","194592","2278","2"
"16827","157947","-3","3"
"16799","157658","2558","2"
"17528","179518","829","1"
"16894","159967","845","2"
"17003","162747","4808","2"
"10163","15894","1012","1"
"16493","129208","4286","2"
"10149","170046","960","2"
"15224","57388","6012","2"
"17528","179412","766","0"
"16590","138921","4582","2"
"16768","156999","-3","3"
"16430","124145","584","0"
"16641","142630","-3","3"
"17395","172451","2250","0"
"16734","154498","6917","2"
"16971","162041","5217","2"
"16681","152024","-1","2"
"15181","44631","-1","2"
"10753","186119","1007","0"
"16740","155020","402","0"
"16588","138746","0","0"
"16609","140496","2224","2"
"16420","123360","563","1"
"10281","12757","1545","1"
"17672","185327","1247","2"
"16397","122245","142","1"
"17916","196334","864","1"
"16869","159116","-1","2"
"17838","192957","105","1"
"16629","141924","5080","2"
"16532","173249","434","2"
"16659","145419","386","1"
"16628","141890","6880","2"
"17001","162713","2762","2"
"11244","18097","389","0"
"17923","196651","-1","2"
"10151","34212","496","1"
"16663","147420","-1","2"
"17548","180722","389","0"
