"Id","providerId","providerName","nameZh","nameEn","pathAttributeId","pathAttributeName","pathAttributeEname","buildPeriod","departureZh","departureEn","destinationZh","destinationEn","realSequence","distance","goFirstBusTime","backFirstBusTime","goLastBusTime","backLastBusTime","peakHeadway","holidayHeadwayDesc","offPeakHeadway","busTimeDesc","holidayGoFirstBusTime","holidayBackFirstBusTime","holidayGoLastBusTime","holidayBackLastBusTime","holidayBusTimeDesc","headwayDesc","holidayPeakHeadway","holidayOffPeakHeadway","segmentBufferZh","segmentBufferEn","ticketPriceDescriptionZh","ticketPriceDescriptionEn"
"17360","16179","三重客運","藍1","BL1","158507","藍1","BL1","10","蘆洲","Luzhou","臺北車站","Taipei Main Station","47","20.4","0600","0600","0000","0000","1520","","2030","","0600","0600","0000","0000","","","20","30","","","一段票","1 segments"
"10281","16177","首都客運","藍2","BL2","158434","藍2","BL2","10","新莊","Xinzhuang","捷運西門站","MRT Ximen Sta.","81","27.6","0530","0530","2350","2350","10","22:00以後發車班次(22:00、22:15、22:50、23:20、23:50)","15","","0530","0530","2350","2350","","22:00以後發車班次(22:00、22:15、22:50、23:20、23:50)","15","20","","","一段票","1 segments"
"16542","16186","淡水客運","879","879","157577","879馬偕醫學院","879 Mackay Medical College","10","馬偕醫學院","Mackay Medical College","關渡","Guandu","3","47.3","0645","0645","1530","1530","","","","06:45班次從三芝發車","","","","","例假日停駛","","","","灰瑤子-興化店、輕軌淡金北新站-捷運紅樹林站","Huiyaozi-Xinghuadian , Tamsui Qingge-MRT Hongshulin Station","三段票","3 segments"
"16542","16186","淡水客運","879","879","159460","879三芝","879 Sanzhi","10","馬偕醫學院","Mackay Medical College","關渡","Guandu","3","47.3","0645","0645","1530","1530","","","","06:45班次從三芝發車","","","","","例假日停駛","","","","灰瑤子-興化店、輕軌淡金北新站-捷運紅樹林站","Huiyaozi-Xinghuadian , Tamsui Qingge-MRT Hongshulin Station","三段票","3 segments"
"16464","16176","臺北客運","藍17","BL17","157487","藍17","BL17","10","五福新村","Wufu New Village","捷運永寧站","MRT Yongning Sta.","108","27.6","0530","0530","2200","2200","","","","","0600","0600","2200","2200","","","","","","","一段票","1 segments"
"17516","16176","臺北客運","藍18","BL18","158684","藍18中和站","BL18Zhonghe Sta.","10","中和","Zhonghe","新莊","Xinzhuang","68","13.2","0600","0600","2300","2300","","","","","0600","0600","2300","2300","","","","","","","一段票","1 segments"
"17516","16177","首都客運","藍18","BL18","158684","藍18中和站","BL18Zhonghe Sta.","10","中和","Zhonghe","新莊","Xinzhuang","68","13.2","0600","0600","2300","2300","","","","","0600","0600","2300","2300","","","","","","","一段票","1 segments"
"17516","16176","臺北客運","藍18","BL18","159204","藍18新莊田徑場(中和里)","BL18Xinzhuang Stadium","10","中和","Zhonghe","新莊","Xinzhuang","68","13.2","0600","0600","2300","2300","","","","","0600","0600","2300","2300","","","","","","","一段票","1 segments"
"17516","16177","首都客運","藍18","BL18","159204","藍18新莊田徑場(中和里)","BL18Xinzhuang Stadium","10","中和","Zhonghe","新莊","Xinzhuang","68","13.2","0600","0600","2300","2300","","","","","0600","0600","2300","2300","","","","","","","一段票","1 segments"
"16498","16187","光華巴士","藍21","BL21","157521","藍21","BL21","10","汐止社后","Xizhi Shehou","南港車站","Nangang Rail Sta.","132","13.3","0600","0600","2130","2130","1215","","2030","","0600","0600","2130","2130","","","20","30","","","一段票","1 segments"
"17332","16187","光華巴士","藍21副","BL21Sub","158474","藍21副","BL21 Sub","10","汐止社后","Xizhi Shehou","南港車站","Nangang Rail Sta.","132","6.65","0615","0615","1900","1900","","例假日停駛","","","","","","","","","","","","","一段票","1 segments"
"16632","16187","光華巴士","藍23","BL23","157680","藍23","BL23","10","汐止社后","Xizhi Shehou","捷運昆陽站","MRT Kunyang Sta.","99","23","0550","0550","2340","2340","0510","22:00後20-30分乙班","1015","","0600","0600","2340","2340","","22:00後20分乙班","12","20","","","一段票","1 segments"
"16191","16176","臺北客運","藍31","BL31","157186","藍31","BL31","10","五福新村","Wufu New Village","板橋後站","Old Banqiao Sta.","76","15.5","0530","0600","2130","2200","","","","","0600","0630","2100","2130","","","","","","","一段票","1 segments"
"16745","16176","臺北客運","藍31華江","BL31Huajiang","157852","藍31華江","BL31 Huajiang","10","華江碼頭","Huajiang Wharf","板橋後站","Old Banqiao Sta.","99","99","1800","1800","2000","2000","","","","華江碼頭班次:週二、四18:00和20:00","","","","","例假日停駛","","","","","","一段票","1 segments"
"16599","16176","臺北客運","藍32","BL32","157647","藍32","BL32","10","信義國小","Xinyi Elementary School","聯合醫院(板橋院區)","United Hospital (Banqiao Campus)","62","11.4","0600","0600","2200","2200","","","","","0700","0700","2200","2200","","","","","","","一段票","1 segments"
"16463","16176","臺北客運","藍35","BL35","157486","藍35","BL35","10","歡仔園","Huan Tsai Garden","捷運新埔站","MRT Hsinpu Station","56","11.6","0700","0700","2200","2200","","","","","0700","0700","2200","2200","","","","","","","一段票","1 segments"
"16486","16179","三重客運","藍37","BL37","157509","藍37","BL37","10","龍壽里","Longshou Li","捷運板橋站","MRT Banqiao Sta.","99","26.9","0540","0540","2345","2345","1015","","2030","","0600","0600","2345","2345","","","20","30","","","一段票","1 segments"
"16487","16179","三重客運","藍38","BL38","157510","藍38","BL38","10","樹林","Shulin","捷運板橋站","MRT Banqiao Sta.","112","26.2","0520","0520","0000","0000","10","22:30之後班距為30分","1520","","0520","0520","0000","0000","","22:30之後班距為30分","10","1520","","","一段票","1 segments"
"16601","16176","臺北客運","藍40","BL40","157649","藍40","BL40","10","華克山莊","Huake Shanzhuang","土城","Tucheng","64","12.2","0630","0630","2100","2100","","","","","0700","0700","2100","2100","","","","","","","一段票","1 segments"
"16735","16190","基隆客運","藍41","BL41","157840","藍41","BL41","10","捷運海山站","Yuanfu Li","永安市場站","MRT Yungan Market Sta.","208","15.6","0545","0630","2300","2335","1015","","1530","","0600","0645","2300","2335","","","","","","","一段票",""
"17311","16190","基隆客運","藍41延和","BL41 Yanhan","158451","藍41延和","BL41 Yanhan","10","捷運海山站","Yuanfu Li","永安市場站","MRT Yungan Market Sta.","99","99","0600","0600","2230","2230","","","","","0635","0635","2220","2220","","","","","","","一段票",""
